# sample_cap: 100
# time_cap: 300 sec
# seed: 0
# dim, mean_time, min_error_scale
2 0.00016658544540405274 1.869408598563977
3 0.0002767086029052734 3.2634160440191953
4 0.0004582691192626953 4.948243283221781
5 0.0006350827217102051 7.925032859104471
6 0.0008860182762145996 8.836379053976508
7 0.001132218837738037 10.766879147967868
8 0.0014496374130249024 12.724902557081222
9 0.0018218350410461426 14.083017942418884
10 0.002222001552581787 19.05359655472114
11 0.0026951241493225098 20.338697104478797
12 0.0032282185554504393 24.716948212215932
13 0.0038033437728881834 25.74352602647208
14 0.004434552192687988 30.435849388221737
15 0.005148506164550782 30.798765013652243
16 0.005894691944122315 35.939186714696575
17 0.006865444183349609 35.83121585128435
18 0.007786068916320801 41.730470713779184
19 0.008830840587615968 44.69319826733849
20 0.009993836879730225 46.326698203849546
21 0.01126525640487671 45.91544064187558
22 0.012557878494262695 54.37833804467824
23 0.013993880748748778 60.089810741231325
24 0.015531408786773681 56.907776238281116
25 0.017228410243988038 66.53545791140232
26 0.01897664785385132 70.569975052907
27 0.02088388681411743 66.68839209195212
28 0.022860622406005858 68.46269533553973
29 0.02504063367843628 71.32266387303689
30 0.027349531650543213 75.07560755172544
31 0.029814236164093018 78.58921238128549
32 0.03235983610153198 81.43041901843368
33 0.035256106853485104 88.60539762330262
34 0.03839709520339966 89.36078870030607
35 0.041754701137542725 86.16686095753262
36 0.044860045909881595 97.10541687764258
37 0.048482487201690676 97.84270151684112
38 0.052577152252197265 100.57339664538982
39 0.05629407405853271 103.85446337519976
40 0.06053425312042236 109.1244948623528
41 0.06526995182037354 113.78898071682654
42 0.06974195957183837 116.45093430887401
43 0.07497831106185913 116.8532289174694
44 0.07996038436889648 115.55290035562793
45 0.08553855180740357 112.64874805539772
46 0.09129071950912476 126.28506766547177
47 0.09734612703323364 131.07532363808315
48 0.10358795881271363 142.5020600413961
49 0.11044248342514038 144.9627155976259
50 0.11779600143432617 138.98551676724404
51 0.12498412132263184 140.07627245867232
52 0.1327152109146118 152.32981340356727
53 0.1406004571914673 148.11494011702345
54 0.14922336578369141 151.7702642487423
55 0.1580350184440613 165.2832622955881
56 0.16715291976928712 154.00784488280178
57 0.17694974899291993 175.00947495824843
58 0.1870415711402893 180.5263437907474
59 0.1974521565437317 176.55659542569543
60 0.20851218700408936 172.48123499593677
61 0.21964298725128173 180.52192893025713
62 0.23138586521148682 182.1473107846173
63 0.24363617420196534 190.4198389486416
64 0.25617089033126833 176.5120865408107
65 0.2697576498985291 192.84400710656263
66 0.28335071802139283 181.05548385720203
67 0.29768348693847657 194.7049448489791
68 0.31242764472961426 208.65848168837735
69 0.32786825895309446 196.12280862028865
70 0.34368813276290894 220.50710828314268
71 0.36030393838882446 210.47062676613967
72 0.37738760709762575 210.6757941601623
73 0.39519041299819946 224.38374521755532
74 0.4123177194595337 228.5609372587716
75 0.4312064814567566 226.41570289359186
76 0.4505722713470459 228.2027337664325
77 0.47103442668914797 225.81880022573407
78 0.491943461894989 237.90085761881218
79 0.513296275138855 240.35035797043017
80 0.5355251169204712 239.51401796705443
81 0.5582874250411988 237.02028220015353
82 0.5824000883102417 237.0831769881883
83 0.606514892578125 260.6918595277783
84 0.6318481040000915 266.2087483547712
85 0.656686601638794 237.3386018902868
86 0.6834721541404725 252.80364281127666
87 0.7117289710044861 259.2262502882269
88 0.7396443271636963 271.8739019889402
89 0.7686001086235046 270.8959399943888
90 0.7988785743713379 275.0781484027238
91 0.8298239994049073 284.4245714696809
92 0.8620853233337402 277.85172909042205
93 0.8946418046951294 288.22523428558156
94 0.9276970100402832 310.4349006239614
95 0.9628562259674073 278.9329433203726
96 0.9976824998855591 280.44354955212106
97 1.0346942472457885 287.18346910958786
98 1.072165961265564 295.4274695726307
99 1.110829849243164 307.6021689881154
100 1.15056786775589 305.98401154183136
101 1.1910916805267333 321.7863504366474
102 1.2322320675849914 321.17283772148994
103 1.2753498911857606 320.10760071903445
104 1.3196303009986878 327.66448149322764
105 1.3676882004737854 312.7042188842618
106 1.4174383997917175 324.85400909952295
107 1.4591040134429931 345.40283054557534
108 1.5077278375625611 326.0145655007972
109 1.5574571633338927 341.1910864155146
110 1.6158951687812806 345.0523790953926
111 1.6675279259681701 350.35638305252235
112 1.717616367340088 351.32957273385585
113 1.773194258213043 352.59490721567727
114 1.8329497051239014 345.6593781685218
115 1.8979288005828858 369.0654010668381
116 1.9505255675315858 360.9578620459539
117 2.0116348838806153 369.4573234319288
118 2.0736564683914183 369.2339465599306
119 2.141161069869995 388.2633602816725
120 2.2054191637039184 391.66222477068544
121 2.2778765821456908 347.0802426721725
122 2.3431256866455077 389.5090534849429
123 2.413258693218231 391.9018091576074
124 2.4846306586265565 390.93543389938475
125 2.55801393032074 401.3201912860288
126 2.6348678827285767 396.9502484101594
127 2.7116225147247315 386.300476183154
128 2.7901337575912475 399.20884774625154
129 2.8789633107185364 397.9534177987818
130 2.968764979839325 414.3948613569624
131 3.0509092181619972 421.59216129578004
132 3.139557066063086 430.10226800231345
133 3.2232594160323447 436.65139278549844
134 3.3100327056842844 422.1723060662061
135 3.407045396526208 420.9744539090851
136 3.491274409515913 441.3813133903487
137 3.5840599224680947 430.24863993518403
138 3.6832784210763325 432.11775163397067
139 3.7838817924261092 453.54739098638834
140 3.8787454183285055 471.1002374223992
