# sample_cap: 1000
# time_cap: 300 sec
# seed: 1
# axis_num, mean_time, error_scale
19 0.0028604097366333008 8.776170179256756
20 0.002900763750076294 7.88620664941957
21 0.0030214715003967284 6.782825500823265
22 0.0030603008270263673 6.228518270659741
23 0.0031371941566467284 5.801361754839675
24 0.003230165481567383 5.366514221575087
25 0.003296334981918335 5.051768873062447
26 0.0034572033882141113 4.932728591069874
27 0.003470811128616333 4.639578803711441
28 0.003653259754180908 4.586687554672453
29 0.003652717113494873 4.423279328452319
30 0.0037668776512145997 4.253183338725215
31 0.0039932308197021486 4.176819437514808
32 0.003950332641601563 4.000264717822206
33 0.004041081905364991 3.922791903748548
34 0.004115750789642334 3.8127496335148248
35 0.004186899423599243 3.7729937559473727
36 0.0043302028179168705 3.63938748027079
37 0.004423730373382569 3.5944766974228717
38 0.004657249927520752 3.499224115972911
39 0.004682444572448731 3.386530688499194
40 0.004755959033966064 3.400683516503725
41 0.004832020044326782 3.303831918659781
42 0.005263445854187011 3.2462834206467783
43 0.005354917526245117 3.2122562875825857
44 0.0059288527965545654 3.173591385423568
45 0.005597418069839478 3.1111637158311236
46 0.005267575263977051 3.0333212080240495
47 0.005902787685394287 3.016003368738043
48 0.006296659708023071 2.973185502065736
49 0.0072985787391662595 2.9112683126582506
50 0.00556255030632019 2.8793247214704563
51 0.005701359033584595 2.8469855637363093
52 0.005822331190109253 2.796323211464975
53 0.00605347204208374 2.741955675212896
54 0.006323828935623169 2.7378202937706915
55 0.006427586078643799 2.7192463107720592
56 0.006334386825561524 2.677210970683032
57 0.007201573848724365 2.6377379170653255
58 0.0071906914710998535 2.6125144900821127
59 0.00708344030380249 2.589358411712265
60 0.0075516078472137455 2.5641011818128985
61 0.007156849622726441 2.5292635714104783
62 0.007028913497924805 2.50232941102949
63 0.0069971528053283695 2.462879618185907
64 0.007038406133651733 2.457627885572679
65 0.007211342573165893 2.4402487613012505
66 0.0073721702098846435 2.417779362532148
67 0.007466184854507446 2.3756969545424593
68 0.007541635513305664 2.376549096801608
69 0.007703576564788818 2.355836549434403
# total runtime: 271.2137417793274
