# sample_cap: 1000
# time_cap: 300 sec
# seed: 1
# dim, mean_time, error_scale
2 0.00021698975563049316 1.229755310393504
3 0.0003601686954498291 1.9497761186785898
4 0.000545856237411499 2.67704725437013
5 0.0007738819122314454 3.588374099440038
6 0.0010397615432739258 4.524147814327516
7 0.0013502514362335205 5.52533312002197
8 0.0017036967277526856 6.411597814220776
9 0.0021177237033843995 7.983955472289277
10 0.002563655138015747 8.446700353632895
11 0.0030516166687011717 9.849483661224127
12 0.0035928890705108642 10.76875990145574
13 0.004221308708190918 11.738996360072688
14 0.004900859117507934 13.021749789774297
15 0.005653830289840699 13.452397816555692
16 0.006510849952697754 15.217651030135228
17 0.007447904109954834 15.874552861412223
18 0.00851380753517151 16.392022192698317
19 0.009646237373352051 16.98596416945733
20 0.010864404678344727 20.030789946097755
21 0.012194822549819946 20.62642823375469
22 0.013530142068862916 20.361242270560457
23 0.015023943662643433 21.518693188348077
24 0.016632904291152953 21.610271451612743
25 0.01846117281913757 22.794607777130626
26 0.020236148834228515 22.267340489736473
27 0.022255855083465576 23.590052758509533
28 0.02440753364562988 24.415910978823767
29 0.026534264087677003 25.320022701140005
30 0.028980064392089843 26.69882417663875
31 0.03163750863075256 28.83531748800842
32 0.034426132678985595 29.082722411834364
33 0.037183136224746706 30.370137602174687
34 0.040388197660446164 30.255908919874283
35 0.04371043610572815 31.613861229862085
36 0.047259526014328 32.51731044778496
37 0.050830461502075194 33.609974243812744
38 0.05469291043281555 30.714857858399377
39 0.05891126990318298 36.38175348945767
40 0.06329358077049255 35.245840899082275
41 0.06830261206626892 36.21365905407073
42 0.07263568925857544 37.130565207988454
43 0.07781325888633728 38.100414355380934
44 0.08322621393203736 38.18760410026981
45 0.08902752804756164 40.165894091930326
46 0.0949933626651764 43.10319938299954
47 0.10102560663223267 42.50382632234706
48 0.10732607150077819 41.336997901020034
49 0.11412630105018616 43.24999853923374
50 0.12115520906448364 42.749504075782205
51 0.12997138905525207 45.4038004075698
52 0.13654141759872437 46.691808563617535
53 0.1445710926055908 46.002955165531425
54 0.15375320267677306 47.674354789670055
55 0.16268936371803283 49.103974443065844
56 0.1716319284439087 48.11646346968331
57 0.18284534120559692 49.77522904488301
58 0.19155000710487366 49.404761812087635
59 0.20233265376091003 53.48676172979787
60 0.21344591069221497 51.961976786776276
61 0.2250292010307312 53.052307597106434
62 0.23707031655311583 52.85110933290832
63 0.24945177459716797 56.777562417621496
64 0.26269982767105104 53.404249128717446
65 0.2750614926815033 54.9139569852065
66 0.28997354936599734 53.95114700413322
67 0.305478938113394 57.08443040480722
68 0.3196610155196997 56.89892695462616
69 0.3354426751589642 58.83064064077885
70 0.35153722288457795 60.60400124037629
71 0.36893937599453935 58.050261707735494
72 0.38519799357354256 61.29624786314011
73 0.4057002586287421 61.15099732562138
74 0.42188331049479794 61.47505711162345
75 0.44183748530358385 64.11517282928169
76 0.46134327194108393 62.86897057557846
77 0.4819284384744317 62.46538902889446
78 0.5036310649558202 64.89245229983459
79 0.5251734744418751 61.52364089069982
80 0.5477436228390158 64.106161821037
81 0.5716190092904228 69.34441561397861
82 0.5955307337026747 67.97644662484518
83 0.6198955872827325 70.99188031974882
84 0.6464246637077742 67.0331284218344
85 0.6717127665577319 71.18987631214843
86 0.7000300145093655 67.26517872655201
87 0.7279468598723701 74.30310617929726
88 0.757190870698213 76.55304222920067
89 0.8787780944366901 77.50756795415481
90 0.8164048305024272 73.51960146831632
91 0.8492432368003716 73.24137152743148
92 0.8810384923761542 75.88556210538307
93 0.9152064665061671 81.04183213943523
94 0.9483054180626613 80.70218764633135
95 0.984641125163094 81.50734218265407
96 1.0200674638909808 79.98870114127698
97 1.0572923438649782 77.39940568023901
98 1.094064891988581 83.0137296715248
99 1.1335803463773908 76.89263909340748
100 1.1761670233681798 82.2869686615547
101 1.2193066687719059 83.93948589503132
102 1.263966069501989 87.07733413527227
103 1.3089743116627568 80.05640057128339
104 1.354446345621401 88.53899255735418
105 1.404578051834463 86.21650774458054
106 1.4523130672565405 91.2631196273398
107 1.5040483582019806 87.88164653218507
108 1.5496694980208408 90.9794681254984
109 1.605586415306132 92.83144005165646
110 1.6559240189227429 98.29893517472111
111 1.7093457132577896 91.42009090216771
112 1.763487350173861 90.87260498481876
113 1.821053984670928 88.69833489435635
114 1.878943532705307 96.87843112669381
115 1.9396585879787323 93.87813815700419
116 1.9970944685651766 95.67221000155192
117 2.062518546026047 93.54589665184567
118 2.1250274063835684 103.69360865911207
119 2.187448555144711 98.9553937452409
120 2.250239358019473 98.48081829772255
121 2.315727178867047 97.86049490712313
122 2.3809810441637795 100.09854282569535
123 2.4587711086118125 96.86338581297349
124 2.5321954258349764 110.61802552433069
125 3.9975953232158314 102.96231762912163
126 2.747336422313343 104.46907276456717
127 2.7565546429485357 104.39769127994086
128 2.8422969062373324 101.53074972780486
129 2.929518579279335 95.28812691944529
130 3.0023497438430784 106.3567880310201
131 3.0927354024381053 100.29040908673012
132 3.183403790624518 107.60863861200892
133 3.260315243915845 116.800772004187
134 3.3534993754492866 111.37809768504847
135 3.450240299619477 110.86673789229286
136 3.547796947815839 109.53867790494186
137 3.633951727166233 110.13674753793461
138 3.739779531219859 102.07203513732411
139 3.8363101904905297 109.76504359136621
140 3.93338181446125 114.6779775784258
# total runtime: 27317.58248567581
