# sample_cap: 100
# time_cap: 300 sec
# seed: 0
# dim, mean_time, min_error_scale
141 3.959182431823329 435.8401758212009
142 4.061265903550225 451.0135220580637
143 4.163371657671994 466.0147193888195
144 4.274642642115204 469.2483962490338
145 4.380138597626617 436.4930108291563
146 4.49201217694069 477.45493639492776
147 4.606181039954677 508.3168626305573
148 4.720003884285688 504.80755617999404
149 4.829786607197353 480.6573778654644
150 4.957628914567291 505.5347806957118
151 5.079252994060516 476.84824597826554
152 5.20338405411819 531.4151256329735
153 5.323327231825444 495.11053779598626
154 5.464492624456232 525.362796818249
155 5.589328249295552 501.99127764394973
156 5.723904569194002 504.58056952056074
157 5.8670344811219435 540.161681686084
158 6.0064938306808475 569.5168187308748
159 6.164588247026716 549.8565172543944
160 6.30900664627552 530.7138677392222
161 6.460041046142578 560.1146905107671
162 6.611109609189241 549.3556179295593
163 6.767921659681532 535.6101087728374
164 6.930010643872348 516.5509901538404
165 7.086742661720098 530.9850137130192
166 7.246306266103472 534.7854161427208
167 7.390313276430455 585.5346212597053
168 7.556340658664704 574.6912777225342
169 7.757307639488807 538.7890228871014
170 7.907049222996361 566.2884071233273
171 8.078058035750137 569.0157947362585
172 8.277750395439767 583.4068541871802
173 8.470441963937548 585.0328073987382
174 8.65297817502703 581.5399912485939
175 8.84038500926074 585.2081592354466
176 9.032060980796814 593.1293256603731
177 9.226438804106278 607.0303338160436
178 9.42301458120346 643.5224396246546
179 9.626153714954853 576.2428543957143
180 9.824730319361533 605.121563062464
181 10.032191475232443 653.7523240974217
182 10.242684706052144 666.1941684311258
183 10.463166039565515 692.2017648104638
184 10.672642313200852 642.9328757607526
185 10.910738757678441 604.993273896923
186 11.130195794282136 658.8371425695046
187 11.350875510109795 624.502547067198
188 11.578266602296095 635.1433770519337
189 11.80769971700815 721.2863838819661
190 12.035400714874267 596.4336490088273
191 12.303317642211914 688.3391855984263
192 12.521204888820648 710.0824873671313
193 12.7813571592172 643.4312476424656
194 13.03500140706698 717.5567643998442
195 13.294237043546593 659.8491261379748
196 13.550482542618461 667.7414523523541
197 13.79776109348644 652.4715374569913
198 14.05580752546137 710.6556946164454
199 14.307147105534872 721.4867356018324
200 14.591843128204346 746.8734379750824
