# sample_cap: 1000
# time_cap: 300 sec
# seed: 1
# dim, mean_time
2 0.0005575287342071534
3 0.0008326582908630371
4 0.0012355823516845704
5 0.0017504389286041259
6 0.002363304615020752
7 0.0030932979583740234
8 0.0039171621799468995
9 0.004890653848648071
10 0.005973222017288208
11 0.007252465963363647
12 0.008652215957641601
13 0.010239238977432251
14 0.011970194578170777
15 0.013863814115524292
16 0.015952473878860472
17 0.018253074884414675
18 0.02080673384666443
19 0.023593315124511717
20 0.026571301460266112
21 0.029930084466934206
22 0.03341583943367005
23 0.037352659702301026
24 0.041477777242660524
25 0.04606935334205627
26 0.050964304208755494
27 0.05619689273834229
28 0.06172462844848633
29 0.0676591329574585
30 0.07403419876098633
31 0.08096852970123292
32 0.08864422035217286
33 0.09687884068489075
34 0.10512009906768799
35 0.11440210652351379
36 0.12323466992378235
37 0.13338248443603515
38 0.14454025888442992
39 0.15605054354667663
40 0.16884209299087524
41 0.1823807406425476
42 0.19656173992156983
43 0.21168649411201476
44 0.22761360168457032
45 0.244660968542099
46 0.2626048150062561
47 0.282077271938324
48 0.30233072514260284
49 0.32257559911520983
50 0.34472476163222515
51 0.3675414900155225
52 0.3924730260387745
53 0.4179934615212231
54 0.44483557171291777
55 0.47340610425931046
56 0.503410358556965
57 0.534662781236859
58 0.5687096182144049
59 0.6038689383078869
60 0.6402565594166835
61 0.6761562813509692
62 0.71702412773715
63 0.7592320996101456
64 0.8023094920551076
65 0.8476218497012294
66 0.8957986938419626
67 0.9455151108075988
68 0.9917791597913987
69 1.0440019592642784
70 1.1000902163676727
71 1.1592744943257924
72 1.2140578368017751
73 1.2859667712806637
74 1.3526612638353228
75 1.4154087709930707
76 1.4830496886680866
77 1.556476604135543
78 1.6295948711601465
79 1.7137758122249083
80 1.7929481253737496
81 1.8796429708600044
82 1.965858130673178
83 2.0569585921013194
84 2.1464414732796806
85 2.237728915391145
86 2.3374205042225444
87 2.439574741735691
88 2.554491992724144
89 2.655095271304645
90 2.760401412981366
91 2.890641790169936
92 2.990653330736821
93 3.117950176455311
94 3.2428955544707594
95 3.366924039522807
96 3.4977281370828317
97 3.635162293192852
98 3.7921122610569
99 3.9386121793226763
100 4.088306530101879
101 4.237372106229755
102 4.381905089253965
103 4.572371862151406
104 4.7510940209031105
105 4.932829935042585
106 5.113660105204178
107 5.311981836954753
108 5.499918590892445
109 5.705738472488691
110 5.929104781618305
111 6.146904200923686
112 6.344010308384895
113 6.582405245822409
114 6.812718195385403
115 7.026863192403039
116 7.2806972832906816
117 7.518823432922363
118 7.777800841209216
119 8.027189417889243
120 8.279962726541468
# total runtime: 25592.962393283844
