# sample_cap: 1000
# time_cap: 300 sec
# seed: 1
# dim, mean_time, error_scale
141 3.9343453568297546 119.74329652012386
142 4.033342905044556 119.38696778269546
143 4.142875076973275 112.73236869349559
144 4.244666724137857 121.38555842522119
145 4.359660860421001 113.60964333137608
146 4.473612764302422 117.04907455327564
147 4.593241893883907 125.79503962570885
148 4.697687059640884 115.65823912856963
149 4.811551059995379 135.7336396710501
150 4.944901951023789 117.78593401102547
151 5.06322896083196 130.8421801378235
152 5.189695522702974 129.8314982031457
153 5.313455707148502 124.39180654912222
154 5.4462840131350925 132.67871044729856
155 5.566365568726151 131.78853813569236
156 5.709442921404569 108.74682203704899
157 5.823942413696876 132.32509615443067
158 5.964948074490416 112.33132676587216
159 6.124744935911529 121.29545923363125
160 6.260299389561017 124.91978755888324
161 6.412880790994523 128.92923212019292
162 6.5545731160951695 135.69809846449843
163 6.705965312321981 136.99304717132497
164 6.863751010461287 134.34840218614
165 7.0515999073205995 133.3958821858493
166 7.217539611316862 152.74847564314254
167 7.366680529059433 131.18430210087908
168 7.537295615673065 132.86382730000076
169 7.708433909293933 132.55967751786855
170 7.869568647482456 144.51399603300376
171 8.041513901007804 134.64939240745088
172 8.227245105279458 150.0059186982945
173 8.411590331130558 143.0192574671106
174 8.594534090587072 140.13031059591012
175 8.77788586616516 136.7040920658533
176 8.97299288300907 151.9408085608162
177 9.164642110015407 137.6174411471172
178 9.362705447457053 134.9628193282096
179 9.56885814666748 156.25146865319772
180 9.78262408318058 145.0079008747283
181 9.965139519783758 157.4243315893961
182 10.178900686899821 152.89143816715196
183 10.39417732172999 159.0139005853939
184 10.601940664751776 142.57056419696832
185 10.82795547587531 149.7975215865403
186 11.052312552928925 151.25685849079443
187 11.278854679178309 144.16342258822075
188 11.500550084643894 137.64812779686284
189 11.741084630672749 146.9551469746272
190 11.978719106087318 158.93555770367507
191 12.205214319229126 152.74301517014985
192 12.454929437637329 179.51700479577326
193 12.707612872123718 149.61590187058363
194 12.955793152252832 160.59031374172463
195 13.20496708413829 176.76161446347132
196 13.470594032951023 145.95308277274688
197 13.695586280389266 141.76697751577925
198 14.019537156278437 169.3799546749055
199 14.288385641007196 176.24079340658474
200 14.522083282470703 140.1848573271406
# total runtime: 18326.08836865425
